name,base,type,frequency
Hoteliers,Hotelier,NN,23869
zeichneten,zeichnen,VVFIN,23864
Lebensräume,Lebensraum,NN,23863
geprobt,proben,VVPP,23862
Schulweg,Schulweg,NN,23861
abgekommen,abkommen,VVPP,23861
beenden,beenden,VVFIN,23854.30637
Eckhardt,Eckhardt,NE,23851
Direktoren,Direktor,NN,23850.41586
Unterwelt,Unterwelt,NN,23849.62486
Torfolge,Torfolge,NN,23849
zählende,zählend,ADJA,23849
Kanalisation,Kanalisation,NN,23849
Ramona,Ramona,NE,23847
Absetzung,Absetzung,NN,23845
Eimer,Eimer,NN,23845
Daimler-Benz,Daimler-Benz,NE,23845
aufwarten,aufwarten,VVINF,23842.36469
faul,faul,ADJD,23841.52583
Ministern,Minister,NN,23835.74033
TF,TF,NE,23833.6714
Schell,Schell,NE,23833.61072
zahlten,zahlen,VVFIN,23833
lieben,lieben,VVFIN,23832.93052
Notiz,Notiz,NN,23832
Pranger,Pranger,NN,23832
Flop,Flop,NN,23830
Doppelte,Doppelte,NN,23829.95318
träumen,träumen,VVFIN,23828.70622
positioniert,positionieren,VVPP,23828.56237
Autorinnen,Autorin,NN,23828.13062
Entlang,entlang,APPR,23827.33938
U-Bahnhof,U-Bahnhof,NN,23827
Ausreise,Ausreise,NN,23826.8907
Kegeln,Kegel,NN,23825.82494
Hoch,hoch,ADJD,23823.0609
Pyramide,Pyramide,NN,23822
anspruchsvoll,anspruchsvoll,ADJD,23822
untergeordnete,untergeordnet,ADJA,23819
festigen,festigen,VVINF,23818.52877
McLaren,UNKNOWN,NE,23818.35042
Mika,Mika,NE,23818
verdeckt,verdecken,VVFIN,23817.98862
dementierte,dementieren,VVFIN,23815.10556
naturwissenschaftlichen,naturwissenschaftlich,ADJA,23813
Gesänge,Gesang,NN,23810
DFL,UNKNOWN,NE,23809
Wulf,Wulf,NE,23806
Regierungstruppen,Regierungstruppe,NN,23805
Neubeginn,Neubeginn,NN,23803
abdecken,abdecken,VVINF,23802.1655
Kandidatinnen,Kandidatin,NN,23801.6977
Hauptstr.,unknown,NN,23800.97016
Reiseführer,Reiseführer,NN,23800
Beweglichkeit,Beweglichkeit,NN,23800
ÖTV,ÖTV,NE,23795
Holzmann,Holzmann,NE,23792.40096
Alters-,Alters-,TRUNC,23790
Zander,Zander,NE,23788.49386
gewaschen,waschen,VVPP,23788
Goldmann,Goldmann,NE,23787.86517
kurdische,kurdisch,ADJA,23784
Genehmigungsverfahren,Genehmigungsverfahren,NN,23783
Politikers,Politiker,NN,23781
Gewähr,Gewähr,NN,23781
"6,8",@card@,CARD,23780
Suizid,Suizid,NN,23779
verfassen,verfassen,VVINF,23777.35264
Play,UNKNOWN,NE,23777.21167
aufgehen,aufgehen,VVINF,23776.10184
Mülheim-Kärlich,unknown,NE,23773.76239
geplündert,plündern,VVPP,23773
Problematisch,problematisch,ADJD,23773
Sonderpreis,Sonderpreis,NN,23768
Corporate,UNKNOWN,NE,23766.83661
Trip,Trip,NN,23764
Landgemeinde,Landgemeinde,NN,23764
schlucken,schlucken,VVINF,23762.49765
dastehen,dastehen,VVINF,23761.08374
Bürgerentscheid,Bürgerentscheid,NN,23761
Rap,Rap,NN,23757.92472
Selbsthilfegruppen,Selbsthilfegruppe,NN,23757
mittel-,mittel-,TRUNC,23755
Anstand,Anstand,NN,23752.74196
unübersichtlich,unübersichtlich,ADJD,23752
Hopkins,UNKNOWN,NE,23749.372
zehntausend,zehntausend,CARD,23744
Abfolge,Abfolge,NN,23744
Versorger,Versorger,NN,23743
Langzeitarbeitslose,Langzeitarbeitslos|Langzeitarbeitslose,NN,23742.79666
Tatbestand,Tatbestand,NN,23742
mittragen,mittragen,VVINF,23741.99223
Weißenthurm,UNKNOWN,NE,23739.90052
Einkaufszentren,Einkaufszentrum,NN,23739
Energiekosten,Energiekosten,NN,23738
Niklaus,Niklaus,NE,23734
1797,@card@,CARD,23734
Ärgernis,Ärgernis,NN,23731
Gewohnheit,Gewohnheit,NN,23730
Grillen,Grille,NN,23728.02177
Schwerpunkten,Schwerpunkt,NN,23725
Areals,Areal,NN,23724
Inventar,Inventar,NN,23724
empfangen,empfangen,VVINF,23723.37776
Westdeutschen,westdeutsch,ADJA,23722.03675
Bediensteten,Bedienstete,NN,23721.38611
Algier,Algier,NE,23721
Transfers,Transfer,NN,23719
hektisch,hektisch,ADJD,23716
Cole,UNKNOWN,NE,23715.60788
Altmeister,Altmeister,NN,23715
auferlegt,auferlegen,VVPP,23711.98449
enthüllt,enthüllen,VVPP,23709.93128
Steuer-,Steuer-,TRUNC,23708
Ursprünge,Ursprung,NN,23707
Edi,Edi,NE,23706.31573
Platt,Platt,NN,23705.84181
Gesetzentwurfs,Gesetzentwurf,NN,23705
hinterfragt,hinterfragen,VVFIN,23704
Blasorchester,Blasorchester,NN,23704
Larven,Larve,NN,23702.93195
Rogers,Roger,NE,23701
schwarz-gelben,unknown,ADJA,23700.87394
verschlafen,verschlafen,VVPP,23699.49634
mißbraucht,mißbrauchen,VVPP,23699.05304
"6,7","6,7",CARD,23699
Verweigerung,Verweigerung,NN,23698
Jet,Jet,NN,23696.02024
Gemüt,Gemüt,NN,23696
gedeutet,deuten,VVPP,23688
Fernost,Fernost,NN,23686
hießen,heißen,VVFIN,23686
Biber,Biber,NN,23682
gebührend,gebührend,ADJD,23682
Waadt,Waadt,NE,23679
Landestheater,Landestheater,NN,23676
wich,weichen,VVFIN,23675
verunsichert,verunsichern,VVPP,23674.03461
maximalen,maximal,ADJA,23674
Durcheinander,Durcheinander,NN,23672.96995
Sarajewo,Sarajewo,NE,23670
einzubinden,einbinden,VVIZU,23670
Vorstandssitzung,Vorstandssitzung,NN,23668
Evakuierung,Evakuierung,NN,23668
Absätze,Absatz,NN,23667
Diplomarbeit,Diplomarbeit,NN,23666
Wahltag,Wahltag,NN,23665
ungenau,ungenau,ADJD,23664
unterhaltsamen,unterhaltsam,ADJA,23662
zunehmendem,zunehmend,ADJA,23662
GRAZ,Graz,NE,23660
Margrit,Margrit,NE,23660
momentanen,momentan,ADJA,23659
zusammengeführt,zusammenführen,VVPP,23659
Angefangen,anfangen,VVPP,23657.50484
Sträucher,Strauch,NN,23653
Rieder,UNKNOWN,NE,23652.17132
Totschlag,Totschlag,NN,23651
schrumpft,schrumpfen,VVFIN,23650.7886
wegzudenken,wegdenken,VVIZU,23646
verschieden,verschieden,ADJD,23644.55516
BETZDORF,Betzdorf,NE,23644
Aktuellen,aktuell,ADJA,23643.59146
Erste,Erste,NN,23642.97024
schlechteren,schlecht,ADJA,23642
Imperium,Imperium,NN,23642
Prototypen,Prototyp,NN,23642
Zweitligist,Zweitligist,NN,23641
verholfen,verhelfen,VVPP,23640
Fußball-Bundesligist,Fußball-Bundesligist,NN,23640
Erschöpfung,Erschöpfung,NN,23638
Automobilhersteller,Automobilhersteller,NN,23638
Jugoslawiens,Jugoslawien,NE,23636.05227
gehörigen,gehörig,ADJA,23636
Ballade,Ballade,NN,23634
drittgrößte,drittgroß,ADJA,23631
hauptamtlichen,hauptamtlich,ADJA,23629
Bauausschuss,Bauausschuss,NN,23629
vielem,viele,PIS,23628
entpuppte,entpuppen,VVFIN,23627.81153
Veteranen,Veteran,NN,23627.02388
Luftfeuchtigkeit,Luftfeuchtigkeit,NN,23616
geprallt,prallen,VVPP,23616
Anklageschrift,Anklageschrift,NN,23614
Elektrizität,Elektrizität,NN,23614
Althaus,Althaus,NN,23613
Look,Look,NN,23613
Liturgie,Liturgie,NN,23611
le,le,FM,23610.45678
Psychologin,Psychologin,NN,23609
Titelverteidigung,Titelverteidigung,NN,23608
Landesverbandes,Landesverband,NN,23606
dauerten,dauern,VVFIN,23606
EL,EL,NE,23604
reiten,reiten,VVINF,23602.19243
Versteck,Versteck,NN,23601.85353
Webber,UNKNOWN,NE,23600.75725
Nordic,UNKNOWN,NE,23598.43007
alarmierte,alarmieren,VVFIN,23597.47169
leichter,leicht,ADJA,23596.25749
Niederösterreichs,Niederösterreich,NE,23596
verblieb,verbleiben,VVFIN,23595
vorzüglich,vorzüglich,ADJD,23593
Ariane,Ariane,NE,23593
vorenthalten,vorenthalten,VVPP,23592.79579
einzuordnen,einordnen,VVIZU,23592
Pauline,Pauline,NE,23591
Babelsberg,Babelsberg,NE,23590
Fragmente,Fragment,NN,23589.3952
Kirchenkreis,Kirchenkreis,NN,23588
Fußball-Nationalmannschaft,Fußball-Nationalmannschaft,NN,23588
Prozession,Prozession,NN,23587
Fernsehsendung,Fernsehsendung,NN,23585
Donna,Donna,NE,23585
Vermächtnis,Vermächtnis,NN,23583
232,@card@,CARD,23580
390,@card@,CARD,23580
unfreiwillig,unfreiwillig,ADJD,23579
erbeutet,erbeuten,VVPP,23578.49128
Zwischendurch,zwischendurch,ADV,23577
vorgeschriebene,vorgeschrieben,ADJA,23575
auswärtige,auswärtig,ADJA,23574
Wolfenbütteler,Wolfenbütteler,ADJA,23571.59514
100000,100000,CARD,23571
Spielräume,Spielraum,NN,23569
nunmal,nunmal,ADV,23569
Mader,UNKNOWN,NE,23568.94062
uk/,unknown,NE,23567.7797
bewegte,bewegt,ADJA,23566.6945
Rhein-Lahn,unknown,NN,23565.79217
Bildende,bildend,ADJA,23565.52891
brasilianischer,brasilianisch,ADJA,23565.24584
unglaubwürdig,unglaubwürdig,ADJD,23565
Totalschaden,Totalschaden,NN,23564
Arbeitsamtes,Arbeitsamt,NN,23563
bosnische,bosnisch,ADJA,23562
Service-,Service-,TRUNC,23561
Enke,Enke,NE,23561
ten,ten,NE,23547
Lounge,Lounge,FM,23546
Gesundheitsministerin,Gesundheitsministerin,NN,23546
Auerbach,Auerbach,NE,23545.50438
Passend,passend,ADJD,23545
Simonis,Simonis,NE,23542
einzudämmen,eindämmen,VVIZU,23541
schlüssig,schlüssig,ADJD,23541
gliedert,gliedern,VVFIN,23539.34839
Mitwirkenden,Mitwirkende,NN,23538.92211
KÖLN,Köln,NE,23538
Hopp,Hopp,NN,23537.51741
Nasa,Nasa,NE,23537
beträchtlichen,beträchtlich,ADJA,23536
genossen,genießen,VVFIN,23534.29444
Landsleuten,Landsleute,NN,23534
resultierte,resultieren,VVFIN,23531.91816
Bundeskabinett,Bundeskabinett,NN,23530
Probanden,Probande,NN,23529
Enteignung,Enteignung,NN,23528
Kegel,Kegel,NN,23528
dreißiger,dreißig,ADJA,23528
erfasst,erfassen,VVFIN,23527.34329
Ahr,UNKNOWN,NE,23525.09774
unterbrechen,unterbrechen,VVINF,23525.01507
184,@card@,CARD,23525
Kirchplatz,Kirchplatz,NN,23523
pf,pf,NE,23521
BRAUNSCHWEIG,Braunschweig,NE,23518.79465
fürchtete,fürchten,VVFIN,23514
Zwangsarbeit,Zwangsarbeit,NN,23512
systematischen,systematisch,ADJA,23512
abfinden,abfinden,VVINF,23509.48088
peilt,peilen,VVFIN,23509.22417
unters,unters,APPRART,23508
Schaf,Schaf,NN,23507
Gedenkstein,Gedenkstein,NN,23507
Dramen,Drama,NN,23506.46977
Lebensversicherung,Lebensversicherung,NN,23505
Lautstärke,Lautstärke,NN,23503
Kapellen,Kapelle,NN,23501.10947
Kur,Kur,NN,23499.95936
vergebenen,vergeben,ADJA,23499
Fragestellung,Fragestellung,NN,23499
Stefano,Stefano,NE,23495
Burgbrohl,Burgbrohl,NE,23494
Blutdruck,Blutdruck,NN,23494
31301,@card@,CARD,23488
einhellig,einhellig,ADJD,23485
Angehöriger,Angehörige,NN,23484.53352
zart,zart,ADJD,23483
Spies,Spies,NE,23477
gp,gp,NE,23473.93458
damaliger,damalig,ADJA,23473.00332
zögerlich,zögerlich,ADJD,23473
Grundstücks,Grundstück,NN,23473
Download,Download,NN,23470
innenpolitische,innenpolitisch,ADJA,23470
Regionalligisten,Regionalligist,NN,23468.68697
Heimniederlage,Heimniederlage,NN,23468
10.45,@card@,CARD,23468
7:01,@card@,CARD,23468
Aufsichtsratschef,Aufsichtsratschef,NN,23466
strahlenden,strahlend,ADJA,23466
Freedom,UNKNOWN,NE,23465.80947
Atlantik,Atlantik,NE,23465.63828
Wesentlich,wesentlich,ADJD,23464
Schneefall,Schneefall,NN,23464
strahlend,strahlend,ADJD,23460
Metall-,Metall-,TRUNC,23460
Vierteljahrhundert,Vierteljahrhundert,NN,23459
gemietet,mieten,VVPP,23456
ältester,alt,ADJA,23453
Startelf,Startelf,NN,23451
Visitenkarte,Visitenkarte,NN,23447
vergangenem,vergangen,ADJA,23441
Anschrift,Anschrift,NN,23439
verheerende,verheerend,ADJA,23439
Matchball,Matchball,NN,23438
geträumt,träumen,VVPP,23437
Kugelstoßen,Kugelstoßen,NN,23437
Pitt,Pitt,NE,23436
More,UNKNOWN,NE,23434.44855
Raabe,Raabe,NE,23433
149,@card@,CARD,23433
institutionelle,institutionell,ADJA,23432
Youngster,Youngster,NN,23431.00114
diskutierte,diskutieren,VVFIN,23430.4967
Ries,Ries,NE,23430
Kippe,Kippe,NN,23429.6888
Nike,Nike,NE,23429
abgespielt,abspielen,VVPP,23429
hergestellten,hergestellt,ADJA,23427
Fiction,UNKNOWN,NN,23427
B-Junioren,unknown,NN,23426.26797
love,love,FM,23426
1995/,@card@,CARD,23425
Archiven,Archiv,NN,23424
228,@card@,CARD,23422
teilnimmt,teilnehmen,VVFIN,23422
Scotland,UNKNOWN,NE,23418.14051
Kontinenten,Kontinent,NN,23415
Kasseler,Kasseler,NN,23412
unangemessen,unangemessen,ADJD,23409
beugen,beugen,VVINF,23407.95762
Therapeuten,Therapeut,NN,23403.79522
produzierte,produziert,ADJA,23399.37989
exemplarisch,exemplarisch,ADJD,23399
Golfplatz,Golfplatz,NN,23399
Bug,Bug,NN,23398.03692
Stanford,Stanford,NE,23398
Beats,Beat,NN,23396
Herzogs,Herzog,NE,23394.1678
Freundlichkeit,Freundlichkeit,NN,23391
Hauer,Hauer,NN,23388
spontanen,spontan,ADJA,23388
umgangssprachlich,umgangssprachlich,ADJD,23388
Enthusiasmus,Enthusiasmus,NN,23386
Reputation,Reputation,NN,23386
Engadin,Engadin,NN,23383
unwichtig,unwichtig,ADJD,23378
derselbe,dieselbe,PDAT,23376.76574
Löschantrag,unknown,NN,23376.06221
musiziert,musizieren,VVPP,23372.00451
Allgemein,Allgemein,NE,23371.11443
alliierten,alliiert,ADJA,23370.65974
Franken,Franken,NE,23370.03327
Bündel,Bündel,NN,23370
Abhandlung,Abhandlung,NN,23367
Pfarrers,Pfarrer,NN,23365
weltlichen,weltlich,ADJA,23364
beteuert,beteuern,VVFIN,23363.10388
CDU-,CDU-,TRUNC,23363
Besseres,Bessere,NN,23361.05266
abrupt,abrupt,ADJD,23361
Dora,Dora,NE,23360
Auffallend,auffallend,ADJD,23360
Weiterer,weit,ADJA,23358.75614
Abflug,Abflug,NN,23358
Christkind,Christkind,NN,23356
entwirft,entwerfen,VVFIN,23356
auslöst,auslösen,VVFIN,23354
Ausserrhoden,UNKNOWN,NE,23353.13416
Verletzungspause,Verletzungspause,NN,23351
9.45,@card@,CARD,23351
Spengler,Spengler,NN,23350
exotische,exotisch,ADJA,23350
Flügeln,Flügel,NN,23344.772
Sünden,Sünde,NN,23342.69568
leise,leise,ADJA,23340.7401
Walldorf,Walldorf,NE,23340.05045
Luzerner,Luzerner,ADJA,23338.75355
aufrechtzuerhalten,aufrechterhalten,VVIZU,23338.57885
Lessing,Lessing,NE,23338
Promenade,Promenade,NN,23338
Verräter,Verräter,NN,23334
Alf,Alf,NE,23328.17918
LKW,LKW,NE,23327.47676
Leyen,UNKNOWN,NN,23327.27493
gefälschten,gefälscht,ADJA,23326
SPORT,Sport,NN,23325.68779
Pubertät,Pubertät,NN,23324
Grenzwert,Grenzwert,NN,23324
moderat,moderat,ADJD,23322
Norddeutschen,norddeutsch,ADJA,23320.55241
losgehen,losgehen,VVINF,23318.99963
Beiden,beide,PIAT,23317.71217
Jamie,UNKNOWN,NE,23317.15034
Haltepunkt,Haltepunkt,NN,23315
entfernte,entfernen,VVFIN,23314.00709
zerstörten,zerstören,VVFIN,23313.77045
Ziellinie,Ziellinie,NN,23312
Chirurg,Chirurg,NN,23310
durchsetzte,durchsetzen,VVFIN,23309.16583
Unterführung,Unterführung,NN,23308
Wandels,Wandel,NN,23308
How,UNKNOWN,NE,23304.94928
Kurzgeschichten,Kurzgeschichte,NN,23304
Harvey,Harvey,NE,23302
Hatten,haben,VAFIN,23301.50223
Bretagne,Bretagne,NE,23300
Qualifikationen,Qualifikation,NN,23299
bezahlten,bezahlen,VVFIN,23298.66885
Versenkung,Versenkung,NN,23297
Abrüstung,Abrüstung,NN,23293
Paraden,Parade,NN,23292
anfangen,anfangen,VVFIN,23291.01283
Gregory,Gregory,NE,23290
herrschende,herrschend,ADJA,23288
Saarbrücker,Saarbrücker,NN,23286
entsorgen,entsorgen,VVINF,23285.67031
gemachte,gemacht,ADJA,23285
Schuldenbremse,Schuldenbremse,NN,23285
Legion,Legion,NN,23284
hingenommen,hinnehmen,VVPP,23283
Sparer,Sparer,NN,23282
Fischers,Fischer,NE,23281.70809
Knopfdruck,Knopfdruck,NN,23278
geschichtliche,geschichtlich,ADJA,23277
Sag,sagen,VVIMP,23276
Analytiker,Analytiker,NN,23273
Vertiefung,Vertiefung,NN,23272
Belgrader,Belgrader,NN,23272
Falken,Falke,NN,23272
Vogelstang,Vogelstang,NN,23269
badischen,badisch,ADJA,23267
Offenbarung,Offenbarung,NN,23263
Mountains,UNKNOWN,NE,23262.61545
Lokalmatador,Lokalmatador,NN,23260
langwierigen,langwierig,ADJA,23257
182,@card@,CARD,23255
Zugegeben,zugeben,VVPP,23252.61162
simpel,simpel,ADJD,23248
Tischler,Tischler,NN,23248
Doktorarbeit,Doktorarbeit,NN,23248
Hüfte,Hüfte,NN,23246
Songwriter,Songwriter,NN,23242
gehandhabt,gehandhabt,VVPP,23238
Versammlungen,Versammlung,NN,23237.10709
Wachstumsraten,Wachstumsrate,NN,23237
Sprechtag,Sprechtag,NN,23237
Kontrabass,Kontrabass,NN,23236.94615
beliebige,beliebig,ADJA,23236
Bausteine,Baustein,NN,23235
Zelten,Zelt,NN,23232.50888
Verlegenheit,Verlegenheit,NN,23232
Peace,UNKNOWN,NE,23229.15291
Germanen,Germane,NN,23229
Testspiel,Testspiel,NE,23227.67387
tätigen,tätigen,VVINF,23227.36981
abgeschossen,abschießen,VVPP,23227
gastierte,gastieren,VVFIN,23226.34922
tagte,tagen,VVFIN,23226
Sanitäter,Sanitäter,NN,23226
Planungssicherheit,Planungssicherheit,NN,23225
Broschüren,Broschüre,NN,23224.59651
baden-württembergische,baden-württembergisch,ADJA,23224
gravierend,gravierend,ADJD,23222
Fresken,Freske|Fresko,NN,23221.2787
unentgeltlich,unentgeltlich,ADJD,23219
Straubing,Straubing,NE,23219
wohlhabenden,wohlhabend,ADJA,23218
dato,UNKNOWN,NN,23217.59559
Europäern,Europäer,NN,23217
ausgedehnte,ausgedehnt,ADJA,23217
Katz,UNKNOWN,NE,23216.07499
Ausschnitte,Ausschnitt,NN,23214.35457
Gehen,gehen,VVFIN,23210.78234
gewöhnen,gewöhnen,VVINF,23209.58458
Ecclestone,UNKNOWN,NE,23209.56579
Buchhändler,Buchhändler,NN,23209
Bodenheim,Bodenheim,NE,23208
Repräsentantenhauses,Repräsentantenhaus,NN,23208
Nations,UNKNOWN,NE,23207.64488
Geschirr,Geschirr,NN,23207
Manifest,Manifest,NN,23206.01676
einzugreifen,eingreifen,VVIZU,23206
härtere,hart,ADJA,23206
Kremer,Kremer,NE,23205
Dana,Dana,NE,23205
Scheibbs,UNKNOWN,NE,23202.70534
überstand,überstehen,VVFIN,23199
Wetterdienst,Wetterdienst,NN,23199
Regional,regional,ADJD,23195
Befehlshaber,Befehlshaber,NN,23194
abwegig,abwegig,ADJD,23194
endlos,endlos,ADJD,23193
Zuschuß,Zuschuß,NN,23191
Angeboten,anbieten,VVPP,23189.38431
schlief,schlafen,VVFIN,23188
Fahrverbot,Fahrverbot,NN,23188
Kanonen,Kanone,NN,23186.90768
Ausmass,Ausmaß,NN,23186.7318
bewegten,bewegt,ADJA,23185.84304
veranlassen,veranlassen,VVINF,23185.44388
Präsidentschaftswahl,Präsidentschaftswahl,NN,23184
erlernen,erlernen,VVFIN,23182.3386
Spannungsfeld,Spannungsfeld,NN,23181
Sanchez,UNKNOWN,NE,23180.28833
bisheriger,bisherig,ADJA,23179.35873
Wehrdienst,Wehrdienst,NN,23178
Jene,jen,PDAT,23177.87722
aufgemacht,aufmachen,VVPP,23176
beschieden,bescheiden,VVPP,23175.0927
Belfast,Belfast,NE,23174
Hochsprung,Hochsprung,NN,23173
Gerard,Gerard,NE,23172
mitzubringen,mitbringen,VVIZU,23169
Kleinsten,Kleinste,NN,23168.49905
Brass,UNKNOWN,NE,23167.44272
andauernde,andauernd,ADJA,23166
gotischen,gotisch,ADJA,23166
Gelben,gelb,ADJA,23165.37365
wirtschaft@dpa,unknown,VVFIN,23162.7729
Kinderprogramm,Kinderprogramm,NN,23162
Laute,Laut|Laute,NN,23161.59136
Speisekarte,Speisekarte,NN,23161
parierte,parieren,VVFIN,23160.35429
zusammenzuarbeiten,zusammenarbeiten,VVIZU,23157
Freitagmorgen,Freitagmorgen,NN,23156
Zweifelsfall,Zweifelsfall,NN,23156
Landeskriminalamt,Landeskriminalamt,NN,23156
Jusos,Juso,NN,23156
bestem,gut,ADJA,23155
Nolte,Nolte,NE,23154
Außenministeriums,Außenministerium,NN,23152
Baier,Baier,NN,23152
objektiven,objektiv,ADJA,23151
geheimnisvolle,geheimnisvoll,ADJA,23149
ca,ca,NE,23148.26551
Walz,Walz,NN,23147
Laux,UNKNOWN,NE,23146.11578
verwendeten,verwenden,VVFIN,23145.98297
Straßenbahnen,Straßenbahn,NN,23144
Endphase,Endphase,NN,23144
Eisenbahnen,Eisenbahn,NN,23143.08177
Chansons,Chanson,NN,23143
Gruyter,UNKNOWN,NE,23140.96192
Kreuzberger,Kreuzberger,NE,23140
Adi,Adi,NE,23139.85209
forciert,forcieren,VVPP,23139.17817
Vielfaches,Vielfache,NN,23136.74929
exotischen,exotisch,ADJA,23136
zurücklegen,zurücklegen,VVINF,23134.25111
Weltall,Weltall,NN,23131
Zeitungsbericht,Zeitungsbericht,NN,23127
Fotoausstellung,Fotoausstellung,NN,23127
Susanna,Susanna,NE,23126
Telephon,Telephon,NN,23124
Wohnwagen,Wohnwagen,NN,23124
mitarbeiten,mitarbeiten,VVINF,23121.17079
Eigeninitiative,Eigeninitiative,NN,23121
modernste,modern,ADJA,23121
Teuerung,Teuerung,NN,23121
Nathalie,Nathalie,NE,23120
hintere,hinter,ADJA,23118
Angermünde,Angermünde,NE,23115
Eigentumswohnungen,Eigentumswohnung,NN,23115
Reportagen,Reportage,NN,23112
Welchen,welche,PWAT,23110.83902
schufen,schaffen,VVFIN,23110
Klinikums,Klinikum,NN,23109
Nachschub,Nachschub,NN,23107
Nationalmuseum,Nationalmuseum,NN,23106
Indischen,indisch,ADJA,23105.60928
Geschädigten,Geschädigte,NN,23104.08316
Sage,Sage,NE,23103.81169
optimieren,optimieren,VVINF,23103.30392
Finne,Finne,NN,23101
nassen,naß,ADJA,23101
JAHREN,Jahr,NN,23099.70623
Rettungshubschrauber,Rettungshubschrauber,NN,23099
Dimitri,Dimitri,NE,23095
gewerbliche,gewerblich,ADJA,23091
Redaktionsschluss,Redaktionsschluss,NN,23091
baldigen,baldig,ADJA,23090
Sozialminister,Sozialminister,NN,23090
Internet,UNKNOWN,VVPP,23089.35482
Kalb,Kalb,NN,23088
Maren,Maren,NE,23087.41564
BERLINER,Berliner,ADJA,23086.04986
Beschneidung,Beschneidung,NN,23086
Mentor,Mentor,NN,23085
Clarke,Clarke,NE,23084
mündlich,mündlich,ADJD,23084
Scharf,scharf,ADJD,23083.84063
Zuges,Zug,NN,23083
Dinosaurier,Dinosaurier,NN,23081
Kabarettisten,Kabarettist,NN,23081
Ähnlichkeiten,Ähnlichkeit,NN,23081
Kaul,UNKNOWN,NE,23079.91628
Wiederkehr,Wiederkehr,NN,23079
Zeitfahren,Zeitfahren,NN,23078
Finanziert,finanzieren,VVPP,23075.33714
Eintragung,Eintragung,NN,23073
Christiansen,Christianse,NN,23072
qualifizieren,qualifizieren,VVFIN,23070.67014
Ferdinandshof,UNKNOWN,NE,23069.4039
DÜSSELDORF,DÜSSELDORF,NE,23069
beitreten,beitreten,VVINF,23068.73582
Wehen,Wehe,NN,23068.32058
gefestigt,festigen,VVPP,23068
Enterprise,Enterprise,NN,23067
aufgefangen,auffangen,VVPP,23066
endlosen,endlos,ADJA,23066
"10,5",@card@,CARD,23065
weihnachtliche,weihnachtlich,ADJA,23065
sensationellen,sensationell,ADJA,23064
Fürstin,Fürstin,NN,23060
Kabinetts,Kabinett,NN,23060
Geschäftsbericht,Geschäftsbericht,NN,23059
schnellstmöglich,schnellstmöglich,ADJD,23058
nordrhein-westfälische,nordrhein-westfälisch,ADJA,23058
do,do,FM,23057.25652
Rentenmarkt,Rentenmarkt,NN,23057
Konzerthaus,Konzerthaus,NN,23056
Sportfest,Sportfest,NN,23054.45301
Wirtschaftsstandort,Wirtschaftsstandort,NN,23052
Finanzsenator,Finanzsenator,NN,23051
Erdmann,Erdmann,NE,23050
5500,5500,CARD,23050
behielten,behalten,VVFIN,23049
niedrigste,niedrig,ADJA,23049
Purkersdorf,Purkersdorf,NE,23049
Trompeter,Trompeter,NN,23048
DVDs,DVD,NN,23048
Buchstabe,Buchstabe,NN,23048
ch,ch,FM,23046.22711
verbal,verbal,ADJD,23044
164,@card@,CARD,23041
innehatte,innehatte,VVFIN,23040
Pinochet,Pinochet,NE,23036
Nitsch,UNKNOWN,NE,23034.49363
Angerer,UNKNOWN,NE,23030.71489
vereinbarte,vereinbaren,VVFIN,23030.2081
Konzernen,Konzern,NN,23030
leitenden,leitend,ADJA,23030
breiteren,breit,ADJA,23026
Ebenfalls,Ebenfall,NN,23023
Talenten,Talent,NN,23022
erfahrener,erfahrener,ADJA,23021.48322
Ausverkauf,Ausverkauf,NN,23021
Olympic,UNKNOWN,NE,23017.5134
nachrichten/,unknown,NE,23017.43658
1791,@card@,CARD,23017
Pensionisten,Pensionist,NN,23016.40871
marschieren,marschieren,VVFIN,23015.87524
GS,UNKNOWN,NE,23015.03674
mündliche,mündlich,ADJA,23015
streifte,streifen,VVFIN,23015
Genehmigungen,Genehmigung,NN,23014.77828
Strom-,Strom-,TRUNC,23014
Ratlosigkeit,Ratlosigkeit,NN,23014
Flugverkehr,Flugverkehr,NN,23013
Verkündigung,Verkündigung,NN,23012
wechselnde,wechselnd,ADJA,23012
Birkenfelder,Birkenfeld,NN,23010
Deutlichkeit,Deutlichkeit,NN,23009
Weitergabe,Weitergabe,NN,23009
gestarteten,gestartet,ADJA,23009
absehbare,absehbar,ADJA,23008
beleuchten,beleuchten,VVINF,23007.81169
angespannt,anspannen,VVPP,23006.75064
Five,UNKNOWN,NE,23004.16833
Richards,Richard,NE,23002
Handschellen,Handschelle,NN,22998.48389
Heimbach-Weis,unknown,NN,22998.01846
Jahrzehnts,Jahrzehnt,NN,22998
Vertragsverlängerung,Vertragsverlängerung,NN,22993
Umschlag,Umschlag,NN,22992
Sachsens,Sachs|Sachsen,NE,22991.85054
Said,Said,NE,22991
Unterschlupf,Unterschlupf,NN,22990
Statistisches,Statistische,NN,22988.22572
Bekanntlich,bekanntlich,ADV,22987
erkannten,erkennen,VVFIN,22986.04817
till,unknown,ADJD,22985.03504
DIEZ,Diez,NE,22985
Landesmeisterschaft,Landesmeisterschaft,NN,22984.68111
Deck,Deck,NN,22983
gefilmt,filmen,VVPP,22980
Hast,Hast,NN,22979.20961
CDU-Fraktionschef,CDU-Fraktionschef,NN,22978
